player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Jarace Walker|PF|20|IND|33|340|11.8|0.527|0.5|0.082|4|17|10.5|13.9|2.1|2.6|13|16.1|0.1|0.3|0.4|0.058|-0.5|0.7|0.2|0.2
Lonnie Walker IV|SG|25|BRK|58|1011|13.1|0.545|0.551|0.12|1.4|12.7|6.9|11.5|1.6|1.8|9|24.4|-0.1|0.9|0.8|0.038|-0.4|-1|-1.4|0.2
Cason Wallace|SG|20|OKC|82|1692|12|0.612|0.529|0.084|3.6|8.6|6.2|8.9|2.2|2|8.9|12.9|1.9|2.1|4|0.115|-0.9|1|0.1|0.9
Jordan Walsh|SF|19|BOS|9|83|8.4|0.472|0.6|0.133|6.8|18.7|13|7.2|3|1.1|15.9|9.9|0|0.2|0.2|0.089|-5.6|1.8|-3.8|0
T.J. Warren|SF|30|MIN|11|125|9.2|0.479|0.317|0.098|4.8|14.8|10|10.1|1.6|0.7|8.6|16.5|0|0.2|0.2|0.06|-5|0.5|-4.5|-0.1
P.J. Washington|PF|25|TOT|73|2221|12.2|0.537|0.509|0.179|4.2|16.5|10.3|9.3|1.6|2.4|9.9|19.1|0|1.9|1.9|0.04|-1.7|-0.4|-2.1|-0.1
TyTy Washington Jr.|PG|22|MIL|11|56|4.6|0.35|0.3|0|2|7.7|4.9|11.4|2.6|0|9.1|17|-0.1|0.1|-0.1|-0.072|-7.1|-1|-8.2|-0.1
Yuta Watanabe|SF|29|TOT|34|464|4.7|0.474|0.733|0.147|2.8|10.1|6.5|4.2|1.3|1.3|13.3|13.3|-0.5|0.4|-0.1|-0.009|-5.3|-1.1|-6.4|-0.5
Lindy Waters III|SG|26|OKC|38|280|15.3|0.653|0.817|0.019|2.9|12.6|8|11.5|0.9|2.3|6.3|17.3|0.6|0.3|0.9|0.15|2.4|-0.5|1.9|0.3
Trendon Watford|PF|23|BRK|63|856|15.7|0.611|0.219|0.312|6.5|18.7|12.4|14.6|1.3|2|15.1|21.1|0.9|0.9|1.8|0.1|-0.9|0.4|-0.5|0.3
Peyton Watson|SF|21|DEN|80|1488|11.8|0.539|0.34|0.237|4.3|14.6|9.6|7.4|1.4|5|10.5|16.2|0.3|2.2|2.5|0.079|-3|0.8|-2.2|-0.1
Victor Wembanyama|C|20|SAS|71|2106|23.1|0.565|0.332|0.309|8.2|30.7|19.4|21.5|2|10|16.2|32.2|-0.7|4.4|3.7|0.085|1.9|3.3|5.2|3.8
Blake Wesley|SG|20|SAS|61|876|10.1|0.537|0.256|0.363|2.2|9.5|5.8|25.3|1.6|0.9|18.1|14.7|0.3|0.6|0.9|0.05|-4|0.1|-4|-0.4
